                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39983,                0.98337,                      1,                0.92937,              0.0033304,              0.0033304,              0.0033304
                      2,                0.09192,                 0.9801,                      1,                0.93033,              0.0065978,              0.0065978,              0.0065978
                      3,                0.11505,                 0.9726,                      1,                0.94042,              0.0097992,              0.0097992,              0.0097992
                      4,                0.10981,                0.99217,                      1,                 0.9174,               0.009703,               0.009703,               0.009703
                      5,                0.05842,                0.99087,                      1,                 0.9185,               0.009703,               0.009703,               0.009703
                      6,                0.05568,                0.99348,                      1,                0.91419,               0.009604,               0.009604,               0.009604
                      7,                 0.0287,                0.99348,                      1,                0.91221,               0.009505,               0.009505,               0.009505
                      8,                0.01913,                0.99674,                      1,                0.91045,               0.009406,               0.009406,               0.009406
                      9,                0.01946,                0.99609,                      1,                0.90928,               0.009307,               0.009307,               0.009307
                     10,                0.03379,                0.99804,                      1,                0.90718,               0.009208,               0.009208,               0.009208
                     11,                0.00945,                0.99837,                      1,                0.90724,               0.009109,               0.009109,               0.009109
                     12,                0.00799,                0.99804,                      1,                 0.9072,                0.00901,                0.00901,                0.00901
                     13,                0.00828,                0.99902,                      1,                 0.9064,               0.008911,               0.008911,               0.008911
                     14,                0.00598,                 0.9987,                      1,                0.90659,               0.008812,               0.008812,               0.008812
                     15,                0.00624,                0.99837,                      1,                0.90656,               0.008713,               0.008713,               0.008713
                     16,                 0.0071,                0.99837,                      1,                0.90791,               0.008614,               0.008614,               0.008614
                     17,                0.00887,                0.99739,                      1,                0.90815,               0.008515,               0.008515,               0.008515
                     18,                0.01071,                0.99804,                      1,                0.90727,               0.008416,               0.008416,               0.008416
                     19,                0.00812,                 0.9987,                      1,                0.90724,               0.008317,               0.008317,               0.008317
                     20,                0.00773,                0.99902,                      1,                0.90651,               0.008218,               0.008218,               0.008218
                     21,                0.00321,                0.99902,                      1,                0.90629,               0.008119,               0.008119,               0.008119
                     22,                 0.0064,                0.99902,                      1,                0.90601,                0.00802,                0.00802,                0.00802
                     23,                0.00522,                0.99935,                      1,                0.90586,               0.007921,               0.007921,               0.007921
                     24,                0.01775,                0.99902,                      1,                0.90652,               0.007822,               0.007822,               0.007822
                     25,                0.00731,                0.99837,                      1,                0.90644,               0.007723,               0.007723,               0.007723
                     26,                0.00839,                0.99837,                      1,                 0.9065,               0.007624,               0.007624,               0.007624
                     27,                0.00581,                0.99935,                      1,                0.90618,               0.007525,               0.007525,               0.007525
                     28,                0.00307,                0.99935,                      1,                0.90562,               0.007426,               0.007426,               0.007426
                     29,                0.00173,                0.99804,                      1,                0.90642,               0.007327,               0.007327,               0.007327
                     30,                0.00083,                 0.9987,                      1,                0.90593,               0.007228,               0.007228,               0.007228
                     31,                  0.002,                0.99935,                      1,                0.90572,               0.007129,               0.007129,               0.007129
                     32,                0.00173,                0.99967,                      1,                0.90534,                0.00703,                0.00703,                0.00703
                     33,                0.00738,                0.99935,                      1,                 0.9056,               0.006931,               0.006931,               0.006931
                     34,                0.00781,                0.99967,                      1,                0.90556,               0.006832,               0.006832,               0.006832
                     35,                0.00957,                0.99902,                      1,                0.90569,               0.006733,               0.006733,               0.006733
                     36,                0.01276,                0.99902,                      1,                0.90588,               0.006634,               0.006634,               0.006634
                     37,                0.00709,                0.99935,                      1,                0.90582,               0.006535,               0.006535,               0.006535
                     38,                0.00567,                0.99935,                      1,                0.90572,               0.006436,               0.006436,               0.006436
                     39,                0.01484,                0.99935,                      1,                0.90561,               0.006337,               0.006337,               0.006337
                     40,                0.00254,                0.99902,                      1,                0.90576,               0.006238,               0.006238,               0.006238
                     41,                0.00395,                0.99935,                      1,                0.90558,               0.006139,               0.006139,               0.006139
                     42,                0.00504,                0.99935,                      1,                0.90563,                0.00604,                0.00604,                0.00604
                     43,                0.00477,                0.99935,                      1,                0.90551,               0.005941,               0.005941,               0.005941
                     44,                0.00139,                0.99967,                      1,                0.90546,               0.005842,               0.005842,               0.005842
                     45,                0.00254,                0.99935,                      1,                0.90557,               0.005743,               0.005743,               0.005743
                     46,                0.00088,                0.99935,                      1,                0.90546,               0.005644,               0.005644,               0.005644
                     47,                0.00455,                0.99967,                      1,                0.90541,               0.005545,               0.005545,               0.005545
                     48,                0.00547,                0.99967,                      1,                0.90541,               0.005446,               0.005446,               0.005446
                     49,                0.00266,                0.99967,                      1,                0.90547,               0.005347,               0.005347,               0.005347
                     50,                0.00053,                0.99935,                      1,                0.90553,               0.005248,               0.005248,               0.005248
                     51,                0.00071,                0.99935,                      1,                0.90553,               0.005149,               0.005149,               0.005149
                     52,                0.00015,                0.99935,                      1,                0.90553,                0.00505,                0.00505,                0.00505
                     53,                0.00041,                0.99935,                      1,                0.90554,               0.004951,               0.004951,               0.004951
                     54,                0.00982,                0.99935,                      1,                0.90554,               0.004852,               0.004852,               0.004852
                     55,                0.00189,                0.99935,                      1,                0.90553,               0.004753,               0.004753,               0.004753
                     56,                0.00182,                0.99935,                      1,                0.90553,               0.004654,               0.004654,               0.004654
                     57,                0.00183,                0.99935,                      1,                0.90553,               0.004555,               0.004555,               0.004555
                     58,                0.00071,                0.99935,                      1,                0.90553,               0.004456,               0.004456,               0.004456
                     59,                0.00085,                0.99935,                      1,                0.90553,               0.004357,               0.004357,               0.004357
                     60,                0.00139,                0.99935,                      1,                0.90553,               0.004258,               0.004258,               0.004258
                     61,                0.00111,                0.99935,                      1,                0.90552,               0.004159,               0.004159,               0.004159
                     62,                  8e-05,                0.99935,                      1,                0.90552,                0.00406,                0.00406,                0.00406
                     63,                0.00088,                0.99935,                      1,                0.90553,               0.003961,               0.003961,               0.003961
                     64,                 0.0001,                0.99935,                      1,                0.90553,               0.003862,               0.003862,               0.003862
                     65,                0.00908,                0.99935,                      1,                0.90553,               0.003763,               0.003763,               0.003763
                     66,                  7e-05,                0.99935,                      1,                0.90554,               0.003664,               0.003664,               0.003664
                     67,                0.00056,                0.99935,                      1,                0.90555,               0.003565,               0.003565,               0.003565
                     68,                0.00039,                0.99935,                      1,                0.90555,               0.003466,               0.003466,               0.003466
                     69,                0.00139,                0.99935,                      1,                0.90556,               0.003367,               0.003367,               0.003367
                     70,                0.00218,                0.99935,                      1,                0.90555,               0.003268,               0.003268,               0.003268
                     71,                0.00495,                0.99935,                      1,                0.90555,               0.003169,               0.003169,               0.003169
                     72,                0.00128,                0.99935,                      1,                0.90555,                0.00307,                0.00307,                0.00307
                     73,                 0.0002,                0.99935,                      1,                0.90555,               0.002971,               0.002971,               0.002971
                     74,                0.00024,                0.99935,                      1,                0.90554,               0.002872,               0.002872,               0.002872
                     75,                0.00024,                0.99935,                      1,                0.90554,               0.002773,               0.002773,               0.002773
                     76,                0.00049,                0.99935,                      1,                0.90554,               0.002674,               0.002674,               0.002674
                     77,                  4e-05,                0.99935,                      1,                0.90554,               0.002575,               0.002575,               0.002575
                     78,                 0.0001,                0.99935,                      1,                0.90553,               0.002476,               0.002476,               0.002476
                     79,                0.00296,                0.99935,                      1,                0.90554,               0.002377,               0.002377,               0.002377
                     80,                  2e-05,                0.99935,                      1,                0.90553,               0.002278,               0.002278,               0.002278
                     81,                  2e-05,                0.99935,                      1,                0.90552,               0.002179,               0.002179,               0.002179
                     82,                  2e-05,                0.99935,                      1,                0.90552,                0.00208,                0.00208,                0.00208
                     83,                  2e-05,                0.99935,                      1,                0.90552,               0.001981,               0.001981,               0.001981
                     84,                  1e-05,                0.99935,                      1,                0.90551,               0.001882,               0.001882,               0.001882
                     85,                  1e-05,                0.99935,                      1,                0.90551,               0.001783,               0.001783,               0.001783
                     86,                  1e-05,                0.99935,                      1,                0.90551,               0.001684,               0.001684,               0.001684
                     87,                  4e-05,                0.99935,                      1,                 0.9055,               0.001585,               0.001585,               0.001585
                     88,                  2e-05,                0.99935,                      1,                 0.9055,               0.001486,               0.001486,               0.001486
                     89,                  1e-05,                0.99935,                      1,                0.90549,               0.001387,               0.001387,               0.001387
                     90,                0.00031,                0.99935,                      1,                0.90549,               0.001288,               0.001288,               0.001288
                     91,                  7e-05,                0.99935,                      1,                0.90549,               0.001189,               0.001189,               0.001189
                     92,                  2e-05,                0.99935,                      1,                0.90548,                0.00109,                0.00109,                0.00109
                     93,                  1e-05,                0.99935,                      1,                0.90548,               0.000991,               0.000991,               0.000991
                     94,                  4e-05,                0.99935,                      1,                0.90548,               0.000892,               0.000892,               0.000892
                     95,                0.00033,                0.99935,                      1,                0.90547,               0.000793,               0.000793,               0.000793
                     96,                  4e-05,                0.99935,                      1,                0.90547,               0.000694,               0.000694,               0.000694
                     97,                  1e-05,                0.99935,                      1,                0.90547,               0.000595,               0.000595,               0.000595
                     98,                  1e-05,                0.99935,                      1,                0.90546,               0.000496,               0.000496,               0.000496
                     99,                  1e-05,                0.99935,                      1,                0.90546,               0.000397,               0.000397,               0.000397
